Learning rate (x),Discount rate (y),No. of Eps (z)
0.1,0.0,1538
0.1,0.1,1873
0.1,0.2,2383
0.1,0.30000000000000004,2543
0.1,0.4,2589
0.1,0.5,2619
0.1,0.6000000000000001,2790
0.1,0.7000000000000001,2694
0.1,0.8,2850
0.2,0.0,772
0.2,0.1,1004
0.2,0.2,1284
0.2,0.30000000000000004,1222
0.2,0.4,1423
0.2,0.5,1311
0.2,0.6000000000000001,1376
0.2,0.7000000000000001,1424
0.2,0.8,1688
0.30000000000000004,0.0,648
0.30000000000000004,0.1,722
0.30000000000000004,0.2,915
0.30000000000000004,0.30000000000000004,847
0.30000000000000004,0.4,939
0.30000000000000004,0.5,936
0.30000000000000004,0.6000000000000001,1044
0.30000000000000004,0.7000000000000001,1000
0.30000000000000004,0.8,1103
0.4,0.0,582
0.4,0.1,608
0.4,0.2,702
0.4,0.30000000000000004,643
0.4,0.4,677
0.4,0.5,719
0.4,0.6000000000000001,776
0.4,0.7000000000000001,787
0.4,0.8,747
0.5,0.0,491
0.5,0.1,432
0.5,0.2,597
0.5,0.30000000000000004,563
0.5,0.4,505
0.5,0.5,635
0.5,0.6000000000000001,602
0.5,0.7000000000000001,640
0.5,0.8,660
0.6000000000000001,0.0,397
0.6000000000000001,0.1,365
0.6000000000000001,0.2,492
0.6000000000000001,0.30000000000000004,423
0.6000000000000001,0.4,482
0.6000000000000001,0.5,468
0.6000000000000001,0.6000000000000001,452
0.6000000000000001,0.7000000000000001,502
0.6000000000000001,0.8,515
0.7000000000000001,0.0,346
0.7000000000000001,0.1,368
0.7000000000000001,0.2,397
0.7000000000000001,0.30000000000000004,375
0.7000000000000001,0.4,438
0.7000000000000001,0.5,435
0.7000000000000001,0.6000000000000001,443
0.7000000000000001,0.7000000000000001,471
0.7000000000000001,0.8,449
0.8,0.0,295
0.8,0.1,359
0.8,0.2,362
0.8,0.30000000000000004,330
0.8,0.4,398
0.8,0.5,355
0.8,0.6000000000000001,391
0.8,0.7000000000000001,416
0.8,0.8,383
0.9,0.0,121
0.9,0.1,282
0.9,0.2,345
0.9,0.30000000000000004,257
0.9,0.4,346
0.9,0.5,380
0.9,0.6000000000000001,323
0.9,0.7000000000000001,443
0.9,0.8,424
